Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__short_name,license__category,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,copyright,copyright_holder,author
/adol-c-v2.6.3.tar.gz/,directory,adol-c-v2.6.3.tar.gz,adol-c-v2.6.3.tar.gz,,0,,,,,,,False,False,False,False,False,False,375,51,7125940,,,,,,,,,,,,,,,,,,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,file,aclocal.m4,aclocal,.m4,39857,2017-01-17,9ec9d01714b5b2e51a332ea997e5692d8cd54272,b54ed428932328baacfd29cb81e812ac,text/x-m4,"M4 macro processor script, ASCII text",JavaScript+Lasso,False,True,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-mit,100.00,FSF-MIT,Permissive,Free Software Foundation (FSF),http://www.fsf.org/licensing/licenses/,http://www.fsf.org/licensing/licenses/,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-mit,,,5,12,fsf-mit.LICENSE,fsf-mit,[u'fsf-mit'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,25,27,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,63,65,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,115,117,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,146,148,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,337,339,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,413,415,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,560,562,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,581,583,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,603,605,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,638,640,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,688,690,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,727,729,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,758,760,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,839,841,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,899,901,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,927,929,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,946,948,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,"Copyright (c) 1996-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,,,,"Copyright (c) 2002-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,61,,,,"Copyright (c) 2001-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,61,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,113,,,,"Copyright (c) 1997-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,113,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,144,,,,"Copyright (c) 1999-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,144,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,335,,,,"Copyright (c) 1999-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,335,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,411,,,,"Copyright (c) 1996-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,411,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558,558,,,,"Copyright (c) 2001-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558,558,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579,579,,,,"Copyright (c) 2003-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579,579,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,601,,,,"Copyright (c) 1996-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,601,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,636,,,,"Copyright (c) 2001-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,636,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686,686,,,,"Copyright (c) 1997-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686,686,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,725,,,,"Copyright (c) 2001-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,725,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,756,,,,"Copyright (c) 1996-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,756,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837,837,,,,"Copyright (c) 2009-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837,837,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897,897,,,,"Copyright (c) 2001-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897,897,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925,925,,,,"Copyright (c) 2006-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925,925,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944,944,,,,"Copyright (c) 2004-2013 Free Software Foundation, Inc.",,
/adol-c-v2.6.3.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944,944,,,,,"Free Software Foundation, Inc.",
/adol-c-v2.6.3.tar.gz/adolc.spec,file,adolc.spec,adolc,.spec,4568,2017-01-17,89936c8f3816b8da3085a57a1692ba9b0e226959,0587974c9307443de892f22e2bd3d8c3,text/plain,UTF-8 Unicode text,RPMSpec,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,
/adol-c-v2.6.3.tar.gz/adolc.spec,,,,,,,,,,,,,,,,,,,,,,gpl-2.0,10.00,GPL 2.0,Copyleft,Free Software Foundation (FSF),http://www.gnu.org/licenses/gpl-2.0.html,http://www.gnu.org/licenses/gpl-2.0.txt,https://enterprise.dejacode.com/urn/urn:dje:license:gpl-2.0,GPL-2.0-only,https://spdx.org/licenses/GPL-2.0-only,10,10,gpl-2.0_23.RULE,gpl-2.0,[u'gpl-2.0'],,,
/adol-c-v2.6.3.tar.gz/adolc.spec.in,file,adolc.spec.in,adolc.spec,.in,4676,2017-01-17,1d1dec4beb9799d61ef2f8f7593e493f5807a490,e5ab85e6564f482b908234fe2c006fb7,text/plain,UTF-8 Unicode text,SWIG,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,
/adol-c-v2.6.3.tar.gz/adolc.spec.in,,,,,,,,,,,,,,,,,,,,,,gpl-2.0,10.00,GPL 2.0,Copyleft,Free Software Foundation (FSF),http://www.gnu.org/licenses/gpl-2.0.html,http://www.gnu.org/licenses/gpl-2.0.txt,https://enterprise.dejacode.com/urn/urn:dje:license:gpl-2.0,GPL-2.0-only,https://spdx.org/licenses/GPL-2.0-only,10,10,gpl-2.0_23.RULE,gpl-2.0,[u'gpl-2.0'],,,
/adol-c-v2.6.3.tar.gz/adolclib.pc.in,file,adolclib.pc.in,adolclib.pc,.in,290,2017-01-17,0fc713722c4a4a5d074c6aa25f575448f828d6a8,8fc80776ae419619cd1ecd393827e84e,text/plain,ASCII text,Genshi,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,
/adol-c-v2.6.3.tar.gz/AUTHORS,file,AUTHORS,AUTHORS,,896,2017-01-17,4ca910565a3ece933b7f23617d7a637a37f68968,d7701ed0b36dd18169003db7f0e2ae3a,text/plain,ASCII text,reStructuredText,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,
