Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__short_name,license__category,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,copyright,copyright_holder
/example1.tar.gz/,directory,example1.tar.gz,example1.tar.gz,,0,,,,,,,False,False,False,False,False,False,4,0,6738,,,,,,,,,,,,,,,,,,
/example1.tar.gz/LICENSE.1,file,LICENSE.1,LICENSE,.1,1477,2019-04-21,35c6027b5448ce9bdeb7dc64bddfaf0cc09ea86f,415e927ccfa6eeff9f39d07bb2bbcc11,text/plain,"ASCII text, with very long lines",Groff,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,
/example1.tar.gz/LICENSE.1,,,,,,,,,,,,,,,,,,,,,,bsd-new,100.00,BSD-3-Clause,Permissive,Regents of the University of California,http://www.opensource.org/licenses/BSD-3-Clause,http://www.opensource.org/licenses/BSD-3-Clause,https://enterprise.dejacode.com/urn/urn:dje:license:bsd-new,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause,3,9,bsd-new_105.RULE,bsd-new,[u'bsd-new'],,
/example1.tar.gz/LICENSE.2,file,LICENSE.2,LICENSE,.2,1636,2019-04-21,55797fa5cedec81d17f3691c5636a29b5486c073,827fcf76b362d8d9bcccf417e31dda72,text/plain,"ASCII text, with very long lines",Groff,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,
/example1.tar.gz/LICENSE.2,,,,,,,,,,,,,,,,,,,,,,clear-bsd,99.58,Clear BSD License,Permissive,MetaCarta,http://labs.metacarta.com/license-explanation.html,http://labs.metacarta.com/license-explanation.html#license,https://enterprise.dejacode.com/urn/urn:dje:license:clear-bsd,BSD-3-Clause-Clear,https://spdx.org/licenses/BSD-3-Clause-Clear,4,10,clear-bsd.LICENSE,clear-bsd,[u'clear-bsd'],,
/example1.tar.gz/LICENSE.3,file,LICENSE.3,LICENSE,.3,1686,2019-04-21,e8bc30f512f108bbdf888abe175d734e16453145,84a49e3a04748b441b5224b1ae101c1b,text/plain,"ASCII text, with very long lines",Groff,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,
/example1.tar.gz/LICENSE.3,,,,,,,,,,,,,,,,,,,,,,sun-bsd-no-nuclear,100.00,Sun BSD-Style with Nuclear Restrictions,Free Restricted,Oracle (Sun),,,https://enterprise.dejacode.com/urn/urn:dje:license:sun-bsd-no-nuclear,BSD-3-Clause-No-Nuclear-License,https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-License,3,11,sun-bsd-no-nuclear_2.RULE,sun-bsd-no-nuclear,[u'sun-bsd-no-nuclear'],,
/example1.tar.gz/LICENSE.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,"Copyright 1994-2009 Sun Microsystems, Inc.",
/example1.tar.gz/LICENSE.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,"Sun Microsystems, Inc."
/example1.tar.gz/LICENSE.4,file,LICENSE.4,LICENSE,.4,1939,2019-04-21,4e8da763c581a90fe5aefcccd3cc042bd917f617,918425485e3ec058ff16e75e36992880,text/plain,"ASCII text, with very long lines",Groff,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,
/example1.tar.gz/LICENSE.4,,,,,,,,,,,,,,,,,,,,,,sleepycat,10.00,Sleepycat License,Copyleft,Oracle Corporation,http://opensource.org/licenses/sleepycat.html,http://www.oracle.com/technology/software/products/berkeley-db/htdocs/oslicense.html,https://enterprise.dejacode.com/urn/urn:dje:license:sleepycat,Sleepycat,https://spdx.org/licenses/Sleepycat,1,1,sleepycat_1.RULE,sleepycat,[u'sleepycat'],,
/example1.tar.gz/LICENSE.4,,,,,,,,,,,,,,,,,,,,,,sleepycat,100.00,Sleepycat License,Copyleft,Oracle Corporation,http://opensource.org/licenses/sleepycat.html,http://www.oracle.com/technology/software/products/berkeley-db/htdocs/oslicense.html,https://enterprise.dejacode.com/urn/urn:dje:license:sleepycat,Sleepycat,https://spdx.org/licenses/Sleepycat,3,9,sleepycat.SPDX.RULE,sleepycat,[u'sleepycat'],,
/example1.tar.gz/LICENSE.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,Copyright (c) 1990-1999 Sleepycat Software.,
/example1.tar.gz/LICENSE.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,Sleepycat Software.
