filename,directory,license,confidence,rootlicenses,md5,sha1,sha256,bytes,byteshuman
AUTHORS,/file_5.30.tar.xz/,BSD-2-Clause-FreeBSD,161.00%,BSD-2-Clause-FreeBSD,4b28a4081004b1965edb47d0796317a2,028dbc1396386827afdc43c80645fb67867cd19e,a54ec08e06b88acad82d487c437a5ade3d4554a612ed3c563ab10239a6182dcc,12,12B
COPYING,/file_5.30.tar.xz/,BSD-2-Clause-FreeBSD,161.00%,BSD-2-Clause-FreeBSD,c9d069b760269fd5364b578a1256ec8d,adcc6ae0ba0e1e4fae77bd2b98db0d5a1aae2e75,3c0ad13c36f891a9b4f951e59eb2fc108065a46f849697cc6fd3cdb41cc23a3d,1650,1.6K
ChangeLog,/file_5.30.tar.xz/,BSD-2-Clause-FreeBSD,161.00%,BSD-2-Clause-FreeBSD,c4ce0bfa3e6285b4b8cabf6911b2d9ca,a7802b77f4220d04289e5cf792128a9245e4b87b,e0d526bfd131a1c7036a8bed957f2aa81baac6dc478b3d7bf355ef3999920a70,49364,48.2K
INSTALL,/file_5.30.tar.xz/,BSD-2-Clause-FreeBSD,161.00%,BSD-2-Clause-FreeBSD,974f8ebfb787af664ca683a3cb6b71b5,bbc89f8fc9083ae797f39d0369f1b0ef3788c80a,91826b889739b720e0da7055b74a5a579dd31ad2f3b683b15302039df676e34f,15578,15.2K
MAINT,/file_5.30.tar.xz/,BSD-2-Clause-FreeBSD,161.00%,BSD-2-Clause-FreeBSD,b8e2d2a430c1ae4a03526305480d10d5,6b5382f19ed83c6e16e8fd4bf9d6cae935552a64,764ae4bb291eac34b2feea837ecf1c3f8ad6172d34aed9fc52a76e31ff7c25ed,1492,1.5K
Makefile.am,/file_5.30.tar.xz/,BSD-2-Clause-FreeBSD,161.00%,BSD-2-Clause-FreeBSD,7ac35b65d9317829cb5b2cf510284ed4,f5ca0a22bb89259084d8540417fd2eeb2cdbe373,51ba7b1db8b5254bfa6a4c0163c5b9b3f18f066a6e9d21308f0e6d8be07fc809,82,82B
Makefile.in,/file_5.30.tar.xz/,BSD-2-Clause-FreeBSD,161.00%,BSD-2-Clause-FreeBSD,07607357ec2dd82200bba927560a8436,405bc6b34f68e720541f9bb9cf5e594a18aefb50,6d9e47fa7e4c99dfe043dc2d89323a3e960621b9d11409670d2be5f6a4e42141,25441,24.8K
NEWS,/file_5.30.tar.xz/,BSD-2-Clause-FreeBSD,161.00%,BSD-2-Clause-FreeBSD,3ddab3d6494614ae3e464e159c5c50c3,f72aa36a7f93ae330cbbd7e9b0d545ff432bcdba,85b5cbec5fe48230a0cf6d39148b5a1333f600477adc1497f5d9a80d53c504b0,14,14B
README,/file_5.30.tar.xz/,BSD-2-Clause-FreeBSD,161.00%,BSD-2-Clause-FreeBSD,7edf5447977daa5d13ef5073e12e612f,3957d4cf6aea39b4d7ea06fa554526b033101313,366a686454c639416dd6b8633488b407649dab721829b4cf6cc7a5ce428fea70,6820,6.7K
TODO,/file_5.30.tar.xz/,BSD-2-Clause-FreeBSD,161.00%,BSD-2-Clause-FreeBSD,c596948c9293e1295ae102e9ffd20e05,6b41bf882aadd982df4e39856d2112296532300f,8364ae0030e49931c72c819525d13285f840362e318e3f4eae859a93293cc1ca,1308,1.3K
