Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__short_name,license__category,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,copyright,copyright_holder,author
/file_5.30.tar.xz_extracted/,directory,file_5.30.tar.xz_extracted,file_5.30.tar.xz_extracted,,0,,,,,,,False,False,False,False,False,False,373,7,2937343,,,,,,,,,,,,,,,,,,,
/file_5.30.tar.xz_extracted/acinclude.m4,file,acinclude.m4,acinclude,.m4,2019,2010-07-21,70f5de292b1d232cf99697ab5de2f75d04a17896,33cfd67c3a570ab5c10f745b4d449734,text/x-m4,"M4 macro processor script, ASCII text",C,False,True,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,
/file_5.30.tar.xz_extracted/aclocal.m4,file,aclocal.m4,aclocal,.m4,45668,2017-02-10,d6c872e43568c3770eda4ba69a5b06553aa2fad8,65a2b0035cb826ed97bf0150878b888e,text/x-m4,"M4 macro processor script, ASCII text",JavaScript+Lasso,False,True,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,
/file_5.30.tar.xz_extracted/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-mit,100.00,FSF-MIT,Permissive,Free Software Foundation (FSF),http://www.fsf.org/licensing/licenses/,http://www.fsf.org/licensing/licenses/,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-mit,,,5,12,fsf-mit.LICENSE,fsf-mit,[u'fsf-mit'],,,
/file_5.30.tar.xz_extracted/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,93.55,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,25,27,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/file_5.30.tar.xz_extracted/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,103,105,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/file_5.30.tar.xz_extracted/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,141,143,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/file_5.30.tar.xz_extracted/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,193,195,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/file_5.30.tar.xz_extracted/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,224,226,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/file_5.30.tar.xz_extracted/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,415,417,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/file_5.30.tar.xz_extracted/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,491,493,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/file_5.30.tar.xz_extracted/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,688,690,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/file_5.30.tar.xz_extracted/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,709,711,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
