filename,directory,license,confidence,rootlicenses,md5,sha1,sha256,bytes,byteshuman
ANNOUNCE,/libpng-1.6.34.tar.gz/,Libpng,171.00%,Libpng,95f639811d762afc6eb0bb14ef07aa89,7abd18773ddd6375332f5e7cb1c5b54653bcd68b,e5c030e112692f71ffb5c292df2881c1e2491690a71d0ba6ede67d9b3026f17f,963,963B
CHANGES,/libpng-1.6.34.tar.gz/,Libpng,171.00%,Libpng,0ab519270eb96403bcafcbe111c29ec0,46fcc67f91e5094b289f44bd2f24c07e45775f41,716ff190441deed18f45f1657fa123f160abd0bb6d5c5a8cbfca1a38618e6345,301560,294.5K
CMakeLists.txt,/libpng-1.6.34.tar.gz/,Libpng,171.00%,Libpng,42e2ffc25a33871c383d3d8b5d5bf58a,9fc8cfe04d0fab5977730d902d51d156db54d1f8,e8f7c7e594ea03bf0c4937d580cd767d8c913650d0abe5168e53a368e084e618,34820,34K
INSTALL,/libpng-1.6.34.tar.gz/,Libpng,171.00%,Libpng,89427d8bf4b301ed9e80c4304de5723d,ed7ccec25a7d2a810fb504fb335b7dec7ef94fe8,099eb2d9c3cace4618b85c6f3d7252cf1a8017de592438c14731bed1d482ef4b,19276,18.8K
LICENSE,/libpng-1.6.34.tar.gz/,Libpng,171.00%,Libpng,2db717a05a20e36f2fa673265bd31568,be927a27a8ce3da7db949fa682093a1f2437a04f,a247c24f82bacf0403fe2f3d5550493a91cdb575fe7036b764bda8cacf3efd9c,4995,4.9K
Makefile.am,/libpng-1.6.34.tar.gz/,Libpng,171.00%,Libpng,b5da8081933a464c4fcb6417c45dc2d8,cc7bea917ec92e6423411fe71d4e2044880082a7,2fd5bfba1a0bec9df16ce4ba30f507e05af9a38c036f58297a907ba73591c88c,13910,13.6K
Makefile.in,/libpng-1.6.34.tar.gz/,Libpng,171.00%,Libpng,eeebcd9761ed8edb6e0703ed07a1230c,fa14abe5c0b502a03014db6897ec795d2d8df1a1,67b933d9ffcb3d21dff741af71a755196198dff793f76e3a822c3c6f86c453b3,91604,89.5K
README,/libpng-1.6.34.tar.gz/,Libpng,171.00%,Libpng,8f3bdc6983ccc87324916fda8f478603,51e3d26fda32501c4c4d030773c5d3baee6fa297,26fca7f171f7b715ac65e3de4d052faa843b9e4661eb8726297c325e8fb9b21f,11687,11.4K
TODO,/libpng-1.6.34.tar.gz/,Libpng,171.00%,Libpng,7b5264ec635632a59acb2588674b46d7,c719efa4c30fca60196e2e3e0b5e7d311a78141b,cdfc24ac1e51dc01de8b3796bc5a101e44a04054945b5b319fcf2f1379072d1e,1247,1.2K
aclocal.m4,/libpng-1.6.34.tar.gz/,Libpng,171.00%,Libpng,83ab3ebfe3342decd26f39a5da7480a9,02c3d239de32a30729ae2fe5dc57655ee8729ac6,fe7e98f6328a519fd6d9a75fdaafc1372506ec07b4c4dd49d56c4365c58acc6f,44739,43.7K
arm_init.c,/libpng-1.6.34.tar.gz/arm,Libpng,100.00%,Libpng,d4616638e706136e4a126698c528751f,ce20be53de7a8622993cf4c9dc88ec71b6ca4e65,f29450777a8a7eb01455c8c168746da0d86000f44de6db9f7d497c8f6371430c,4694,4.6K
filter_neon.S,/libpng-1.6.34.tar.gz/arm,Libpng,100.00%,Libpng,0d4c38c3ed9ebda43a80b34c876a75ed,648ceb40d3e3468cd2ea18c9cd5792b2c00eecc2,de2386c3a35d72555c954d03515ce47a5cc5dc1418bc409a79e5b8b5a167f53e,8366,8.2K
filter_neon_intrinsics.c,/libpng-1.6.34.tar.gz/arm,Libpng,100.00%,Libpng,26b9e63929d6c90b60cc035f767473fc,b06ef0d4f37d5e0dcbec12d44da3843ad9786547,af4751f1493b651d7d3ce29e4a2a2c5d4a2f4111356ca298f5b1a37afe7f6744,11306,11K
