Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__short_name,license__category,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,copyright,copyright_holder,author
/libpng-1.6.34.tar.gz/,directory,libpng-1.6.34.tar.gz,libpng-1.6.34.tar.gz,,0,,,,,,,False,False,False,False,False,False,461,36,5926897,,,,,,,,,,,,,,,,,,,
/libpng-1.6.34.tar.gz/aclocal.m4,file,aclocal.m4,aclocal,.m4,44739,2017-09-29,02c3d239de32a30729ae2fe5dc57655ee8729ac6,83ab3ebfe3342decd26f39a5da7480a9,text/x-m4,"M4 macro processor script, ASCII text",Genshi,False,True,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,
/libpng-1.6.34.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-mit,100.00,FSF-MIT,Permissive,Free Software Foundation (FSF),http://www.fsf.org/licensing/licenses/,http://www.fsf.org/licensing/licenses/,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-mit,,,5,12,fsf-mit.LICENSE,fsf-mit,[u'fsf-mit'],,,
/libpng-1.6.34.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,25,27,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/libpng-1.6.34.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,63,65,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/libpng-1.6.34.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,83,85,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/libpng-1.6.34.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,135,137,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/libpng-1.6.34.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,166,168,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/libpng-1.6.34.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,357,359,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/libpng-1.6.34.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,433,435,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/libpng-1.6.34.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,630,632,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/libpng-1.6.34.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,651,653,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/libpng-1.6.34.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,673,675,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/libpng-1.6.34.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,708,710,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/libpng-1.6.34.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,758,760,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
/libpng-1.6.34.tar.gz/aclocal.m4,,,,,,,,,,,,,,,,,,,,,,fsf-unlimited,100.00,FSF-Unlimited,Permissive,Free Software Foundation (FSF),https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant,,https://enterprise.dejacode.com/urn/urn:dje:license:fsf-unlimited,FSFULLR,https://spdx.org/licenses/FSFULLR,797,799,fsf-unlimited.LICENSE,fsf-unlimited,[u'fsf-unlimited'],,,
