filename,directory,license,confidence,rootlicenses,md5,sha1,sha256,bytes,byteshuman
.clang-format,/thrift-0.12.0.tar.gz/,SCEA AND Apache-2.0,178.00%,"Apache-2.0,SCEA",732ee4b92bc502ef70c02c71cb5460f9,7c9bc07bc9b594c0b5c4ede87a10b501f12cf3a4,680f98cf5676bc3c4966548be34bc5225ff5756062aafc5240caa79124dce81b,1700,1.7K
.dockerignore,/thrift-0.12.0.tar.gz/,SCEA AND Apache-2.0,178.00%,"Apache-2.0,SCEA",49198593b0b5a713604e63d3cd3e8aac,6dacc593ed25b8878cac73954ee6cf9ef5fccae3,d08462f0428b46b220d8586c4aae45c1325069aced968776b70dd4c259a02c5f,6,6B
.editorconfig,/thrift-0.12.0.tar.gz/,SCEA AND Apache-2.0,178.00%,"Apache-2.0,SCEA",a4b90141fc6fc141941c5661a987dbf0,87621e72935fa60e3d9dbd87f8ca952fa737d307,724ff06126610fff4e83f44c25dabe702860932963c855b7c90ab30a9e771358,1678,1.6K
.rustfmt.toml,/thrift-0.12.0.tar.gz/,SCEA AND Apache-2.0,178.00%,"Apache-2.0,SCEA",91049a1c998efa42c0e70542e8bfc1f9,d9ea05a50da92a48a65b27c62f46e9590c26ffc7,5b2c0ce2c5079e310693a57da8e8c87c0bd2a944c92faf8fc68e6b1aaf091ac2,1669,1.6K
.travis.yml,/thrift-0.12.0.tar.gz/,SCEA AND Apache-2.0,178.00%,"Apache-2.0,SCEA",c4fa375d1014567bf0c1628b3df2dfc3,535ad77cd011fcbcfd92476867a17361587af928,a6c9c3b5086e59718e8942ca503c17c2d04eb780740a6282347e28c4e73ef779,6066,5.9K
CHANGES,/thrift-0.12.0.tar.gz/,SCEA AND Apache-2.0,178.00%,"Apache-2.0,SCEA",135ed7860d78c43c539fa1b576f3469b,9dde3f0d1969f76a876c30be0e3ddc19d14e637b,ce7c1ff0ebe492e8e644874927cbf0951fbc4c04d0e943d4174eded45fd2c562,208867,204K
CMakeLists.txt,/thrift-0.12.0.tar.gz/,SCEA AND Apache-2.0,178.00%,"Apache-2.0,SCEA",2299201a473eac1674038d8fc17b980e,54d72b53f730a6d23917f5ca71699e16facc7dba,f881446e6ebc2c1adb121775b6237988147ae24527ae657ddcc45694a25714ef,4228,4.1K
CONTRIBUTING.md,/thrift-0.12.0.tar.gz/,SCEA AND Apache-2.0,178.00%,"Apache-2.0,SCEA",6e006da7b6beedb8962930313cf3ecf4,dbc1a2ec1b2a7dc109d1068a474a5414f802f493,e295824a2deaa3fa07eb175b522e16d367dbc3b41a3ded3a289b58d5024b9a09,7399,7.2K
LANGUAGES.md,/thrift-0.12.0.tar.gz/,SCEA AND Apache-2.0,178.00%,"Apache-2.0,SCEA",6a638eb05b54f26b19e7af431da0c81e,ea8952cef5be84b2884dd3c72501796d386c7d40,523ee6835fea0d5382ea21bea5a3cb74840c379bbb603b2d61475bb80a441b99,42973,42K
LICENSE,/thrift-0.12.0.tar.gz/,SCEA AND Apache-2.0,178.00%,"Apache-2.0,SCEA",394465e125cffc0f133695ed43f14047,117ea3761a9291cb3ba107aa7a2f2dcafd4ca6dc,23df881cec3192d1f4474633c14eb2ec30a45b84f8daeb82b9de5d2bd3ac8218,12610,12.3K
