Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__short_name,license__category,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,copyright,copyright_holder,author
/thrift-0.12.0.tar.gz/,directory,thrift-0.12.0.tar.gz,thrift-0.12.0.tar.gz,,0,,,,,,,False,False,False,False,False,False,2595,443,19875803,,,,,,,,,,,,,,,,,,,
/thrift-0.12.0.tar.gz/.clang-format,file,.clang-format,.clang-format,,1700,2019-01-04,7c9bc07bc9b594c0b5c4ede87a10b501f12cf3a4,732ee4b92bc502ef70c02c71cb5460f9,text/plain,ASCII text,VB.net,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,
/thrift-0.12.0.tar.gz/.dockerignore,file,.dockerignore,.dockerignore,,6,2019-01-04,6dacc593ed25b8878cac73954ee6cf9ef5fccae3,49198593b0b5a713604e63d3cd3e8aac,text/plain,ASCII text,GAS,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,
/thrift-0.12.0.tar.gz/.editorconfig,file,.editorconfig,.editorconfig,,1678,2019-01-04,87621e72935fa60e3d9dbd87f8ca952fa737d307,a4b90141fc6fc141941c5661a987dbf0,text/plain,ASCII text,,False,True,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,
/thrift-0.12.0.tar.gz/.editorconfig,,,,,,,,,,,,,,,,,,,,,,apache-2.0,100.00,Apache 2.0,Permissive,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,2,17,apache-2.0_12.RULE,apache-2.0,[u'apache-2.0'],,,
/thrift-0.12.0.tar.gz/.editorconfig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,copyright ownership. The ASF,,
/thrift-0.12.0.tar.gz/.editorconfig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,ownership.,
/thrift-0.12.0.tar.gz/.editorconfig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,The ASF,
/thrift-0.12.0.tar.gz/.rustfmt.toml,file,.rustfmt.toml,.rustfmt,.toml,1669,2019-01-04,d9ea05a50da92a48a65b27c62f46e9590c26ffc7,91049a1c998efa42c0e70542e8bfc1f9,text/plain,ASCII text,,False,True,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,
/thrift-0.12.0.tar.gz/.travis.yml,file,.travis.yml,.travis,.yml,6066,2019-01-04,535ad77cd011fcbcfd92476867a17361587af928,c4fa375d1014567bf0c1628b3df2dfc3,text/plain,ASCII text,YAML,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,
/thrift-0.12.0.tar.gz/.travis.yml,,,,,,,,,,,,,,,,,,,,,,apache-2.0,100.00,Apache 2.0,Permissive,Apache Software Foundation,http://www.apache.org/licenses/,http://www.apache.org/licenses/LICENSE-2.0,https://enterprise.dejacode.com/urn/urn:dje:license:apache-2.0,Apache-2.0,https://spdx.org/licenses/Apache-2.0,2,17,apache-2.0_12.RULE,apache-2.0,[u'apache-2.0'],,,
/thrift-0.12.0.tar.gz/.travis.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,copyright ownership. The ASF,,
/thrift-0.12.0.tar.gz/.travis.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,ownership.,
/thrift-0.12.0.tar.gz/.travis.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,The ASF,
/thrift-0.12.0.tar.gz/aclocal.m4,file,aclocal.m4,aclocal,.m4,63571,2019-01-04,77d25ad4f6deac1bec1cf7017ce3d5a40adc9467,9f77cfdea6a8c938e725939bc9c257e3,text/x-m4,"M4 macro processor script, UTF-8 Unicode text",Velocity,False,True,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,
