filename,directory,license,confidence,rootlicenses,md5,sha1,sha256,bytes,byteshuman
AUTHORS,/time-1.7.tar.gz/,GPL-2.0-or-later,162.00%,GPL-2.0-or-later,99ef6da89f10497cc3c14e8f197a0cd1,7951f4ceffdb030ec617eddf7bba22523cc1a67f,00736429e6c818e30c469ee5576812e1294f6b0862711ce29203e0ee467e025d,263,263B
COPYING,/time-1.7.tar.gz/,GPL-2.0-or-later,162.00%,GPL-2.0-or-later,8ca43cbc842c2336e835926c2166c28b,075d599585584bb0e4b526f5c40cb6b17e0da35a,91df39d1816bfb17a4dda2d3d2c83b1f6f2d38d53e53e41e8f97ad5ac46a0cad,17982,17.6K
ChangeLog,/time-1.7.tar.gz/,GPL-2.0-or-later,162.00%,GPL-2.0-or-later,4b302acdb3976dc4045a772071d0e9f3,4a972ee2c972e38b502b22837c2513ecc2647339,345e7f4c4a18e12ba6669463a3805344f3575a57990ef50fe02e959670f7a03a,7304,7.1K
INSTALL,/time-1.7.tar.gz/,GPL-2.0-or-later,162.00%,GPL-2.0-or-later,29344ac65ace9c9223d96056bd1fa33c,bd0ce8678f58293afc2069e6ba9ab42a6c3e23bc,45f90895336339f33a82019dbd8bf6a3b19dac781042d8ee04d81328a1bb2f52,7721,7.5K
Makefile.am,/time-1.7.tar.gz/,GPL-2.0-or-later,162.00%,GPL-2.0-or-later,e408646f95f87de58d69ba9402b4530b,013f7d712aefd2409a2310714257ad77e62ca205,396e941082177f8a8056f23225937e1fba1f6c7cc5d23e6098eb9583e4e22d96,497,497B
Makefile.in,/time-1.7.tar.gz/,GPL-2.0-or-later,162.00%,GPL-2.0-or-later,fd3821c4d488fbc142fb94cf9ba4ad4d,8b548f3a4c3719b30e0a5db65dd53adbda180db0,e6a99d8d5ca3a5c368b36d23ae52daf98500d20d87019909caac8d1e1dac66fb,8909,8.7K
NEWS,/time-1.7.tar.gz/,GPL-2.0-or-later,162.00%,GPL-2.0-or-later,0ad5e82cfb2ac82b2bfc3bb998150ed6,9a94d3fd8be03e1947b8c43de83211fe4f8ea38c,f00d46981b0691da308dc3b6b2977b50ec6067aa415f24b9d868487e8bca2073,811,811B
README,/time-1.7.tar.gz/,GPL-2.0-or-later,162.00%,GPL-2.0-or-later,44e9fc77c32600526ed39343511914a1,69cfac803ed960fb0d24dc39afa095e408fb845f,7489d81381af1ccb08f4cf40b3f5041d50e8f8cc1a4b6095cc05ad4eafe55b45,663,663B
configure,/time-1.7.tar.gz/,GPL-2.0-or-later,162.00%,GPL-2.0-or-later,4b6cd4ab656af30e1691b52957044712,a54a5e0a7321967322e7e71a5f0e23b59f2bbb15,ebc9627ac9e509d9f5f2f86ad75cc4dde705f24f70aea0d8c21cfe096b3480c8,48264,47.1K
configure.in,/time-1.7.tar.gz/,GPL-2.0-or-later,162.00%,GPL-2.0-or-later,55897354be376ccf8c5fa7710a46e508,63f77f68e8e90b3e6fdde4be3b585b72a0635bbf,ba841702ecc28c76584d07d96736f46d6f9fa5d55a84bf034bc4e83345ea0723,946,946B
