filename,directory,license,confidence,rootlicenses,md5,sha1,sha256,bytes,byteshuman
CMakeLists.txt,/zlib-1.2.11.tar.gz/,Info-ZIP,57.00%,Info-ZIP,03bf3ba8089f4bf475ef4035cf316a47,ade23b9417a586a0974e48fda589491fceb85c16,b87275731cc3ebdfea144187875cea204f555c343279c0f35f2d46d661bfe34a,8099,7.9K
ChangeLog,/zlib-1.2.11.tar.gz/,Info-ZIP,57.00%,Info-ZIP,5b1b3f8b1fc98209b9492717ee39719c,e59e031b1a8b9f128fefde07c9d596db4a4c50e8,4c9f1a65b9b4be8bf164a97775ef50e4db4e02ea8c9933fdbe629a640691375e,78553,76.7K
FAQ,/zlib-1.2.11.tar.gz/,Info-ZIP,57.00%,Info-ZIP,b7a1991f01daea3efe108a215c5514a5,832bb73adff252fa426a141ee4756daa9b8a4db4,1e8a0078be0ff1b60d57561a9e4a8cad72892318a8831946cba1abd30d65521c,16573,16.2K
INDEX,/zlib-1.2.11.tar.gz/,Info-ZIP,57.00%,Info-ZIP,3b6b6f9e88f2319b75e6ccb8c2823b13,74611a0f2bcc004caa1fa07bdeb4c44b01f0a5d6,3b4e325d47ae66456d43fcf143ba21ab67a02a4f81be7ef2da480ba30d774266,1988,1.9K
Makefile,/zlib-1.2.11.tar.gz/,Info-ZIP,57.00%,Info-ZIP,673574278a68806348d4b57c090f38d4,b04f62dd1002b9ca07068c90651432dec60029f3,ef23b08ce01239843f1ded3f373bfc432627a477d62f945cbf63b2ac03db118a,100,100B
Makefile.in,/zlib-1.2.11.tar.gz/,Info-ZIP,57.00%,Info-ZIP,31e13357403fe2f42e2dacfa8909bc03,023e127b48d292316614f604c1bacda043ba3bb5,5021b2bac4164f48b17c91c8a2e3c225be7ad31d8bfab1bbaadd90370afe9991,13680,13.4K
README,/zlib-1.2.11.tar.gz/,Info-ZIP,57.00%,Info-ZIP,0ff45db88393c3152e458a047bba0ff1,e1e1b075ae4ad6d628468e7dd40d9ec512ff9d10,7960b6b1cc63e619abb77acaea5427159605afee8c8b362664f4effc7d7f7d15,5187,5.1K
adler32.c,/zlib-1.2.11.tar.gz/,Info-ZIP,57.00%,Info-ZIP,4dc406b7d1b6e49c22eee2e01177c195,6c1114794db137af50f9b060aaade1a1a35ed784,d7f1b6e44fee20ab41cef1d650776a039a2348935eb96bcbd294a4096139be3a,5204,5.1K
Makefile.pup,/zlib-1.2.11.tar.gz/amiga,Info-ZIP,100.00%,Info-ZIP,f16cd4621f5561cf147b5e56a8af1946,79461cdcf8eda434edca3c32781982d2082af5fe,a65cb3cd40b1b8ec77e288974dd9dc53d91ed78bbe495e94ccc84ddd423edf1f,1981,1.9K
Makefile.sas,/zlib-1.2.11.tar.gz/amiga,Info-ZIP,100.00%,Info-ZIP,315c9e3e7dd1d24aeb9d6bc55b7de5fd,64787face2d527df6c78ba8754eb54c53dda6ac2,0e63cf88b505a1a04327bb666af3a985c5e11835c0c00aed4058c0dcc315d60e,1847,1.8K
