Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__short_name,license__category,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,copyright,copyright_holder,author
/zlib-1.2.11.tar.gz/,directory,zlib-1.2.11.tar.gz,zlib-1.2.11.tar.gz,,0,,,,,,,False,False,False,False,False,False,253,39,2984023,,,,,,,,,,,,,,,,,,,
/zlib-1.2.11.tar.gz/adler32.c,file,adler32.c,adler32,.c,5204,2017-01-01,6c1114794db137af50f9b060aaade1a1a35ed784,4dc406b7d1b6e49c22eee2e01177c195,text/x-c,"C source, ASCII text",C,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,
/zlib-1.2.11.tar.gz/adler32.c,,,,,,,,,,,,,,,,,,,,,,zlib,60.00,ZLIB License,Permissive,zlib,http://www.zlib.net/,http://www.gzip.org/zlib/zlib_license.html,https://enterprise.dejacode.com/urn/urn:dje:license:zlib,Zlib,https://spdx.org/licenses/Zlib,3,3,zlib_5.RULE,zlib,[u'zlib'],,,
/zlib-1.2.11.tar.gz/adler32.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,"Copyright (c) 1995-2011, 2016 Mark Adler",,
/zlib-1.2.11.tar.gz/adler32.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,Mark Adler,
/zlib-1.2.11.tar.gz/ChangeLog,file,ChangeLog,ChangeLog,,78553,2017-01-15,e59e031b1a8b9f128fefde07c9d596db4a4c50e8,5b1b3f8b1fc98209b9492717ee39719c,text/plain,UTF-8 Unicode text,JavaScript+Lasso,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,
/zlib-1.2.11.tar.gz/ChangeLog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219,1230,,,,,,Gilles Vollant <info@winimage.com>
/zlib-1.2.11.tar.gz/ChangeLog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219,1230,,,,,,Kevin Ruland <kevin@rodin.wustl.edu>
/zlib-1.2.11.tar.gz/ChangeLog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219,1230,,,,,,Tyge Lvset <Tyge.Lovset@cmr.no>
/zlib-1.2.11.tar.gz/ChangeLog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219,1230,,,,,,Carlos Rios <c_rios@sonda.cl>
/zlib-1.2.11.tar.gz/CMakeLists.txt,file,CMakeLists.txt,CMakeLists,.txt,8099,2017-01-15,ade23b9417a586a0974e48fda589491fceb85c16,03bf3ba8089f4bf475ef4035cf316a47,text/plain,ASCII text,,False,True,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,
/zlib-1.2.11.tar.gz/compress.c,file,compress.c,compress,.c,2699,2017-01-01,bd40f3ba8567a21560dc307d99c810de6f2d0533,bca8dc2f982dfce8944aec9f4a83626c,text/x-c,"C source, ASCII text",C,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,
/zlib-1.2.11.tar.gz/compress.c,,,,,,,,,,,,,,,,,,,,,,zlib,60.00,ZLIB License,Permissive,zlib,http://www.zlib.net/,http://www.gzip.org/zlib/zlib_license.html,https://enterprise.dejacode.com/urn/urn:dje:license:zlib,Zlib,https://spdx.org/licenses/Zlib,3,3,zlib_5.RULE,zlib,[u'zlib'],,,
/zlib-1.2.11.tar.gz/compress.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,"Copyright (c) 1995-2005, 2014, 2016 Jean-loup Gailly, Mark Adler",,
/zlib-1.2.11.tar.gz/compress.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,"Jean-loup Gailly, Mark Adler",
/zlib-1.2.11.tar.gz/configure,file,configure,configure,,28244,2016-12-31,bdc2fac491ea3431c733cf8be5b8c17ff60207ab,551e3f81bb7dad9adc058c9138119b02,text/x-shellscript,"POSIX shell script, ASCII text executable",Bash,False,True,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,
/zlib-1.2.11.tar.gz/crc32.c,file,crc32.c,crc32,.c,14053,2017-01-01,88ea76a1b42bfc247680dd50b450923858f945fe,f9a17af8e4efe8019fca94827ea1c0db,text/x-c,"C source, ASCII text",C,False,True,False,False,True,False,0,0,0,,,,,,,,,,,,,,,,,,,
