/EvilLicenses.tar.gz/CommonsClause/CommonsClause+AGPLv3.0/LICENSE.txt,GPL-1.0+,GPL-1.0+
/EvilLicenses.tar.gz/CommonsClause/CommonsClause+Apache/LICENSE,Apache-2.0,Apache-2.0
/EvilLicenses.tar.gz/DBAD/license.md,suspiciousLicensey,suspiciousLicensey
/EvilLicenses.tar.gz/NimbleDroid-FriendlyDemo/LICENSE,Apache-2.0,Apache-2.0
/EvilLicenses.tar.gz/NimbleDroid-FriendlyDemo/LICENSE,Apache-2.0_fulltext,Apache-2.0_fulltext
/EvilLicenses.tar.gz/PocketWarriors-SkywarsPe.txt,Apache-2.0,Apache-2.0
/EvilLicenses.tar.gz/PocketWarriors-SkywarsPe.txt,Apache-2.0_fulltext,Apache-2.0_fulltext
/EvilLicenses.tar.gz/PocketWarriors-SkywarsPe/LICENSE,Apache-2.0,Apache-2.0
/EvilLicenses.tar.gz/PocketWarriors-SkywarsPe/LICENSE,Apache-2.0_fulltext,Apache-2.0_fulltext
/EvilLicenses.tar.gz/README.md,,none
/EvilLicenses.tar.gz/SSPL/LICENSE-Community.txt,suspiciousLicensey,suspiciousLicensey
