/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/0BSD.c,HPND_no-repro-required,HPND_no-repro-required
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/AAL.c,BSD-3-Clause,BSD-3-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/ADSL.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/AFL-1.1.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/AFL-1.2.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/AFL-2.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/AFL-2.1.c,AFL-2.1,AFL-2.1
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/AFL-3.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/AGPL-1.0.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/AGPL-3.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/AMDPLPA.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/AML.c,BSD-like_Apple_no_patents,BSD-like_Apple_no_patents
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/AMPAS.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/ANTLR-PD.c,Public-domain,PD
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/APAFML.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/APL-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/APSL-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/APSL-1.1.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/APSL-1.2.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/APSL-2.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Abstyles.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Adobe-2006.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Adobe-Glyph.c,MIT,MIT
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Afmparse.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Aladdin.c,proprietary_NC,proprietary_NC
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Apache-1.0.c,BSD-2-Clause,BSD-2-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Apache-1.0.c,Public-domain,PD
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Apache-1.1.c,BSD-2-Clause,BSD-2-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Apache-1.1.c,Public-domain,PD
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Apache-2.0.c,Apache-2.0,Apache-2.0
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Artistic-1.0-Perl.c,Public-domain,PD
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Artistic-1.0-cl8.c,Public-domain,PD
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Artistic-1.0.c,Public-domain,PD
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Artistic-2.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BSD-2-Clause-FreeBSD.c,BSD-2-Clause,BSD-2-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BSD-2-Clause-NetBSD.c,BSD-2-Clause,BSD-2-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BSD-2-Clause.c,BSD-2-Clause,BSD-2-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BSD-3-Clause-Attribution.c,BSD-3-Clause,BSD-3-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BSD-3-Clause-Clear.c,BSD-3-Clause,BSD-3-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BSD-3-Clause-LBNL.c,BSD-3-Clause,BSD-3-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BSD-3-Clause-No-Nuclear-License-2014.c,BSD-3-Clause,BSD-3-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BSD-3-Clause-No-Nuclear-License.c,BSD-3-Clause,BSD-3-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BSD-3-Clause-No-Nuclear-Warranty.c,BSD-3-Clause,BSD-3-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BSD-3-Clause.c,BSD-3-Clause,BSD-3-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BSD-4-Clause-UC.c,BSD-4-Clause_UC,BSD-4-Clause_UC
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BSD-4-Clause.c,BSD-4-Clause,BSD-4-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BSD-Protection.c,BSD-Protection,BSD-Protection
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BSD-Protection.c,GPL-1.0+,GPL-1.0+
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BSD-Source-Code.c,BSD-3-Clause,BSD-3-Clause
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BSL-1.0.c,BSL-1.0,BSL-1.0
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Bahyph.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Barr.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Beerware.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BitTorrent-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/BitTorrent-1.1.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/Borceux.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CATOSL-1.1.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-1.0.c,CC-BY,CC-BY
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-2.0.c,CC-BY,CC-BY
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-2.5.c,CC-BY,CC-BY
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-3.0.c,CC-BY,CC-BY
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-4.0.c,CC-BY,CC-BY
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-2.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-2.5.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-3.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-4.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-ND-1.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-ND-2.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-ND-2.5.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-ND-3.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-ND-4.0.c,suspiciousLicensey,suspiciousLicensey
/spdx-testfiles-1.0-for-license-list-2.6.tar/noid/CC-BY-NC-SA-1.0.c,suspiciousLicensey,suspiciousLicensey
