/time-1.7.tar.gz/COPYING,GPL-2.0;GPL-3.0,GPL-2.0;GPL-3.0
/time-1.7.tar.gz/error.c,GPL-1.0;GPL-3.0,GPL-1.0;GPL-3.0
/time-1.7.tar.gz/getopt.c,GPL-1.0;GPL-3.0,GPL-1.0;GPL-3.0
/time-1.7.tar.gz/getopt.h,GPL-1.0;GPL-3.0,GPL-1.0;GPL-3.0
/time-1.7.tar.gz/getopt1.c,GPL-1.0;GPL-3.0,GPL-1.0;GPL-3.0
/time-1.7.tar.gz/mdate-sh,GPL-3.0,GPL-3.0
/time-1.7.tar.gz/resuse.c,GPL-1.0;GPL-3.0,GPL-1.0;GPL-3.0
/time-1.7.tar.gz/resuse.h,GPL-1.0;GPL-3.0,GPL-1.0;GPL-3.0
/time-1.7.tar.gz/texinfo.tex,GPL-3.0,GPL-3.0
/time-1.7.tar.gz/time.c,GPL-1.0;GPL-3.0,GPL-1.0;GPL-3.0
/time-1.7.tar.gz/wait.h,GPL-1.0;GPL-3.0,GPL-1.0;GPL-3.0
